net,length_um
m.u_conv3.u_weights._05855_,10.08µm
m.u_conv3.u_weights._06121_,10.08µm
m.u_conv3.u_weights._07281_,10.08µm
m.u_conv3.u_weights._07682_,10.08µm
m.u_conv3.u_weights._08769_,10.08µm
m.u_conv3.u_weights._12478_,10.08µm
m.u_conv3.u_weights._15029_,10.08µm
m.u_conv3.u_weights._15205_,10.08µm
m.u_conv3.u_weights._15217_,10.08µm
m.u_tree._0376_,10.08µm
m.u_tree._0662_,10.08µm
net2018,10.08µm
net2885,10.08µm
m.u_conv3.u_weights._06154_,10.07µm
m.u_conv1.u_weights._113_,10.065µm
m.u_conv2._1228_,10.065µm
m.u_conv2._1543_,10.065µm
m.u_conv3.u_weights._01664_,10.065µm
m.u_conv3.u_weights._04506_,10.065µm
m.u_conv3.u_weights._05125_,10.065µm
m.u_conv3.u_weights._07472_,10.065µm
m.u_conv3.u_weights._08001_,10.065µm
m.u_conv3.u_weights._12093_,10.065µm
m.u_tree._0838_,10.065µm
m.u_conv3.u_weights._06544_,10.06µm
m.u_tree._1401_,10.06µm
m.u_conv3.u_weights._00594_,10.05µm
m.u_conv3.u_weights._01349_,10.05µm
m.u_conv3.u_weights._03401_,10.05µm
m.u_conv3.u_weights._12261_,10.05µm
m.u_conv3.u_weights._12943_,10.04µm
m.u_conv3.u_weights._14157_,10.04µm
m.u_pool1._100_,10.04µm
m.u_conv3.u_weights._07257_,10.035µm
m.sram_req_pool1\[14\],10.03µm
m.u_conv1.u_loader._007_,10.03µm
m.u_conv1.u_weights._037_,10.03µm
m.u_conv2._1128_,10.03µm
m.u_conv2._1129_,10.03µm
m.u_conv2._1150_,10.03µm
m.u_conv2._1180_,10.03µm
m.u_conv2._1190_,10.03µm
m.u_conv2._1223_,10.03µm
m.u_conv2._1233_,10.03µm
m.u_conv2._1278_,10.03µm
m.u_conv2._1315_,10.03µm
m.u_conv2._1378_,10.03µm
m.u_conv2._1426_,10.03µm
m.u_conv2._1472_,10.03µm
m.u_conv2._1496_,10.03µm
m.u_conv2._1509_,10.03µm
m.u_conv2._1521_,10.03µm
m.u_conv2._1527_,10.03µm
m.u_conv2._1542_,10.03µm
m.u_conv2._1557_,10.03µm
m.u_conv2._1560_,10.03µm
m.u_conv2.u_loader._198_,10.03µm
m.u_conv3.u_weights._00171_,10.03µm
m.u_conv3.u_weights._00958_,10.03µm
m.u_conv3.u_weights._01794_,10.03µm
m.u_conv3.u_weights._03181_,10.03µm
m.u_conv3.u_weights._03488_,10.03µm
m.u_conv3.u_weights._03517_,10.03µm
m.u_conv3.u_weights._04270_,10.03µm
m.u_conv3.u_weights._04539_,10.03µm
m.u_conv3.u_weights._04864_,10.03µm
m.u_conv3.u_weights._06505_,10.03µm
m.u_conv3.u_weights._07623_,10.03µm
m.u_conv3.u_weights._09710_,10.03µm
m.u_conv3.u_weights._11489_,10.03µm
m.u_conv3.u_weights._11979_,10.03µm
m.u_conv3.u_weights._12204_,10.03µm
m.u_conv3.u_weights._12976_,10.03µm
m.u_conv3.u_weights._13137_,10.03µm
m.u_conv3.u_weights._13249_,10.03µm
m.u_conv3.u_weights._14380_,10.03µm
m.u_conv3.u_weights._15245_,10.03µm
m.u_pool1._085_,10.03µm
m.u_tree._0308_,10.03µm
m.u_tree._1449_,10.03µm
net2668,10.03µm
net2962,10.03µm
m.u_conv3.u_weights._01807_,10.025µm
m.u_conv1._063_,10.02µm
m.u_conv2._0692_,10.02µm
m.u_conv2.acc\[30\]\[6\],10.02µm
m.u_conv3.u_weights._01106_,10.02µm
m.u_conv3.u_weights._02065_,10.02µm
m.u_conv3.u_weights._02397_,10.02µm
m.u_conv3.u_weights._04177_,10.02µm
m.u_conv3.u_weights._04390_,10.02µm
m.u_conv3.u_weights._04690_,10.02µm
m.u_conv3.u_weights._05279_,10.02µm
m.u_conv3.u_weights._05898_,10.02µm
m.u_conv3.u_weights._09145_,10.02µm
m.u_conv3.u_weights._10017_,10.02µm
m.u_conv3.u_weights._10312_,10.02µm
m.u_conv3.u_weights._10570_,10.02µm
m.u_conv3.u_weights._12775_,10.02µm
m.u_conv3.u_weights._13572_,10.02µm
m.u_conv3.u_weights._14479_,10.02µm
m.u_conv3.u_weights._14487_,10.02µm
m.u_conv3.u_weights._15144_,10.02µm
m.u_pool2._022_,10.02µm
m.u_tree._1073_,10.02µm
m.u_tree._1082_,10.02µm
m.u_conv1.u_loader._099_,10.015µm
m.u_conv1.u_loader._423_,10.015µm
m.u_conv3.u_weights._03409_,10.015µm
m.u_conv3.u_weights._05091_,10.015µm
m.u_conv3.u_weights._05549_,10.015µm
m.u_conv3.u_weights._07674_,10.015µm
m.u_conv3.u_weights._08446_,10.015µm
m.u_conv3.u_weights._11055_,10.015µm
m.u_conv3.u_weights._11436_,10.015µm
m.u_conv3.u_weights._11825_,10.015µm
m.u_conv3.u_weights._15273_,10.015µm
m.u_conv3.u_weights._05185_,10.01µm
m.u_tree._0385_,10.01µm
m.u_tree._1284_,10.01µm
m.u_conv2._0242_,10.005µm
m.u_conv2.u_loader._061_,10.005µm
m.u_conv3.u_weights._06184_,10.005µm
m.u_conv3.u_weights._06299_,10.005µm
m.u_conv3.u_weights._06397_,10.005µm
m.u_conv3.u_weights._14101_,10.005µm
m.u_conv3.u_weights._05027_,10µm
m.u_conv3.u_weights._07479_,10µm
m.u_conv3.u_weights._04192_,9.99µm
m.u_conv3.u_weights._07745_,9.99µm
m.u_conv3.u_weights._08935_,9.99µm
m.u_conv3.u_weights._09075_,9.99µm
m.u_conv3.u_weights._13684_,9.99µm
m.u_conv3.u_weights._15437_,9.99µm
m.u_conv3.u_weights._00867_,9.985µm
m.u_conv3.u_weights._02461_,9.985µm
m.u_conv3.u_weights._06451_,9.985µm
m.u_conv3.u_weights._02812_,9.98µm
m.u_conv3.u_weights._04014_,9.98µm
m.u_conv3.u_weights._04535_,9.98µm
m.u_conv3.u_weights._05107_,9.98µm
m.u_conv3.u_weights._07140_,9.98µm
m.u_conv3.u_weights._11743_,9.98µm
m.u_conv3.u_weights._11934_,9.98µm
m.u_conv3.u_weights._13263_,9.98µm
m.u_conv3.u_weights._13710_,9.98µm
m.u_conv3.u_weights._15751_,9.98µm
m.u_conv3.u_weights._14073_,9.975µm
m.u_conv1._153_,9.97µm
m.u_conv1.u_loader._246_,9.97µm
m.u_conv2._0012_,9.97µm
m.u_conv2._0659_,9.97µm
m.u_conv2.acc\[12\]\[5\],9.97µm
m.u_conv2.u_weights._325_,9.97µm
m.u_conv3.input_buf\[61\],9.97µm
m.u_conv3.u_weights._00785_,9.97µm
m.u_conv3.u_weights._00810_,9.97µm
m.u_conv3.u_weights._01769_,9.97µm
m.u_conv3.u_weights._01878_,9.97µm
m.u_conv3.u_weights._02261_,9.97µm
m.u_conv3.u_weights._02603_,9.97µm
m.u_conv3.u_weights._02828_,9.97µm
m.u_conv3.u_weights._03355_,9.97µm
m.u_conv3.u_weights._04376_,9.97µm
m.u_conv3.u_weights._05950_,9.97µm
m.u_conv3.u_weights._06440_,9.97µm
m.u_conv3.u_weights._06453_,9.97µm
m.u_conv3.u_weights._06547_,9.97µm
m.u_conv3.u_weights._10916_,9.97µm
m.u_conv3.u_weights._11033_,9.97µm
m.u_conv3.u_weights._11876_,9.97µm
m.u_conv3.u_weights._12201_,9.97µm
m.u_conv3.u_weights._13337_,9.97µm
m.u_conv3.u_weights._14675_,9.97µm
m.u_conv3.u_weights._14704_,9.97µm
m.u_conv3.u_weights._15307_,9.97µm
m.u_pool1._106_,9.97µm
m.u_tree._0872_,9.97µm
m.u_conv3.u_weights._02904_,9.965µm
m.u_conv3.u_weights._08439_,9.965µm
m.u_conv3.u_weights._08842_,9.965µm
m.u_conv3.u_weights._13867_,9.965µm
m.u_conv3.u_weights._14321_,9.965µm
m.u_conv3.u_weights._15148_,9.965µm
m.u_conv2.acc\[58\]\[1\],9.96µm
m.u_conv3.u_weights._00095_,9.96µm
m.u_conv3.u_weights._00764_,9.96µm
m.u_conv3.u_weights._03924_,9.96µm
m.u_conv3.u_weights._04899_,9.96µm
m.u_conv3.u_weights._07446_,9.96µm
m.u_conv3.u_weights._08064_,9.96µm
m.u_conv3.u_weights._09119_,9.96µm
m.u_conv3.u_weights._09494_,9.96µm
m.u_conv3.u_weights._10482_,9.96µm
m.u_conv3.u_weights._11714_,9.96µm
m.u_conv3.u_weights._12274_,9.96µm
m.u_conv3.u_weights._15571_,9.96µm
m.u_pool1._160_,9.96µm
m.u_pool1._224_,9.96µm
m.u_tree._0723_,9.96µm
m.u_tree._1054_,9.96µm
m.u_tree._1278_,9.96µm
m.u_conv2._1352_,9.955µm
m.u_conv3.u_weights._00960_,9.955µm
m.u_conv3.u_weights._01067_,9.955µm
m.u_conv3.u_weights._01937_,9.955µm
m.u_conv3.u_weights._03537_,9.955µm
m.u_conv3.u_weights._03631_,9.955µm
m.u_conv3.u_weights._03699_,9.955µm
m.u_conv3.u_weights._05399_,9.955µm
m.u_conv3.u_weights._05870_,9.955µm
m.u_conv3.u_weights._08596_,9.955µm
m.u_conv3.u_weights._10191_,9.955µm
m.u_conv3.u_weights._11970_,9.955µm
m.u_conv3.u_weights._12780_,9.955µm
m.u_pool1._222_,9.955µm
net2497,9.955µm
net2576,9.955µm
net2862,9.955µm
net2912,9.955µm
net2928,9.955µm
net3032,9.955µm
m.u_conv3.u_weights._15752_,9.95µm
m.u_conv3.u_weights._04624_,9.945µm
m.u_conv1.u_weights._139_,9.94µm
m.u_conv2.acc\[10\]\[4\],9.94µm
m.u_conv3.u_weights._01737_,9.94µm
m.u_conv3.u_weights._02680_,9.94µm
m.u_conv3.u_weights._03366_,9.94µm
m.u_conv3.u_weights._03494_,9.94µm
m.u_conv3.u_weights._03954_,9.94µm
m.u_conv3.u_weights._05675_,9.94µm
m.u_conv3.u_weights._10858_,9.94µm
m.u_conv3.u_weights._13539_,9.94µm
m.u_conv3.u_weights._14268_,9.94µm
m.u_conv3.u_weights._11437_,9.93µm
m.u_conv3.u_weights._13784_,9.93µm
m.u_conv1.u_loader._091_,9.92µm
m.u_conv1.u_loader._247_,9.92µm
m.u_conv3.u_weights._01022_,9.92µm
m.u_conv3.u_weights._01033_,9.92µm
m.u_conv3.u_weights._01250_,9.92µm
m.u_conv3.u_weights._01276_,9.92µm
m.u_conv3.u_weights._02293_,9.92µm
m.u_conv3.u_weights._02858_,9.92µm
m.u_conv3.u_weights._03044_,9.92µm
m.u_conv3.u_weights._03091_,9.92µm
m.u_conv3.u_weights._03463_,9.92µm
m.u_conv3.u_weights._04608_,9.92µm
m.u_conv3.u_weights._04902_,9.92µm
m.u_conv3.u_weights._05214_,9.92µm
m.u_conv3.u_weights._05843_,9.92µm
m.u_conv3.u_weights._06052_,9.92µm
m.u_conv3.u_weights._06482_,9.92µm
m.u_conv3.u_weights._08298_,9.92µm
m.u_conv3.u_weights._08404_,9.92µm
m.u_conv3.u_weights._08662_,9.92µm
m.u_conv3.u_weights._09602_,9.92µm
m.u_conv3.u_weights._10470_,9.92µm
m.u_conv3.u_weights._11091_,9.92µm
m.u_conv3.u_weights._11134_,9.92µm
m.u_conv3.u_weights._11829_,9.92µm
m.u_conv3.u_weights._12155_,9.92µm
m.u_conv3.u_weights._14779_,9.92µm
m.u_pool1._125_,9.92µm
m.u_pool2._092_,9.92µm
m.u_tree._0944_,9.92µm
m.u_conv2._1247_,9.91µm
m.u_conv3._000_,9.91µm
m.u_conv3._017_,9.91µm
m.u_conv3.u_weights._00752_,9.91µm
m.u_conv3.u_weights._03980_,9.91µm
m.u_conv3.u_weights._04191_,9.91µm
m.u_conv3.u_weights._04642_,9.91µm
m.u_conv3.u_weights._05049_,9.91µm
m.u_conv3.u_weights._05542_,9.91µm
m.u_conv3.u_weights._06198_,9.91µm
m.u_conv3.u_weights._08581_,9.91µm
m.u_conv3.u_weights._10836_,9.91µm
m.u_conv3.u_weights._12754_,9.91µm
m.u_conv3.u_weights._14213_,9.91µm
m.u_conv3.u_weights._14610_,9.91µm
m.u_conv1.u_loader._182_,9.905µm
m.u_conv3.u_weights._02148_,9.905µm
m.sram_req_conv1\[17\],9.9µm
m.u_conv1.u_loader._430_,9.9µm
m.u_conv1.u_weights._060_,9.9µm
m.u_conv2._0617_,9.9µm
m.u_conv3.u_weights._00996_,9.9µm
m.u_conv3.u_weights._01174_,9.9µm
m.u_conv3.u_weights._01207_,9.9µm
m.u_conv3.u_weights._01229_,9.9µm
m.u_conv3.u_weights._04441_,9.9µm
m.u_conv3.u_weights._06723_,9.9µm
m.u_conv3.u_weights._09898_,9.9µm
m.u_conv3.u_weights._10249_,9.9µm
m.u_conv3.u_weights._11228_,9.9µm
m.u_conv3.u_weights._15085_,9.9µm
m.u_tree._1417_,9.9µm
m.u_conv1.u_weights._125_,9.895µm
m.u_conv2.acc\[54\]\[0\],9.895µm
m.u_conv3.u_weights._02209_,9.895µm
m.u_conv3.u_weights._02944_,9.895µm
m.u_conv3.u_weights._07125_,9.895µm
m.u_conv3.u_weights._11698_,9.895µm
m.u_conv2.u_loader._284_,9.89µm
m.u_conv3.u_weights._06478_,9.89µm
m.u_conv3.u_weights._00356_,9.885µm
m.u_conv3.u_weights._12208_,9.885µm
m.u_conv2.u_weights._255_,9.88µm
m.u_conv3.u_weights._14004_,9.88µm
m.u_conv3.u_weights._14483_,9.88µm
m.u_conv3.u_weights._09797_,9.875µm
m.u_conv2.acc\[37\]\[0\],9.87µm
m.u_conv2.u_loader._101_,9.87µm
m.u_conv3.u_weights._00499_,9.87µm
m.u_conv3.u_weights._02354_,9.87µm
m.u_conv3.u_weights._03329_,9.87µm
m.u_conv3.u_weights._03794_,9.87µm
m.u_conv3.u_weights._04520_,9.87µm
m.u_conv3.u_weights._05202_,9.87µm
m.u_conv3.u_weights._09953_,9.87µm
m.u_conv3.u_weights._13405_,9.87µm
m.u_conv3.u_weights._13810_,9.87µm
m.u_conv3.u_weights._15008_,9.87µm
m.u_tree._1477_,9.87µm
m.u_conv1._114_,9.865µm
m.u_conv3.u_weights._01811_,9.865µm
m.u_conv3.u_weights._01815_,9.865µm
m.u_conv3.u_weights._03709_,9.865µm
m.u_conv3.u_weights._05401_,9.865µm
m.u_conv3.u_weights._05885_,9.865µm
m.u_conv3.u_weights._10159_,9.865µm
net2966,9.865µm
m._018_,9.86µm
m.u_conv3.u_weights._00796_,9.86µm
m.u_conv3.u_weights._01057_,9.86µm
m.u_conv3.u_weights._04814_,9.86µm
m.u_conv3.u_weights._05324_,9.86µm
m.u_conv3.u_weights._05377_,9.86µm
m.u_conv3.u_weights._05606_,9.86µm
m.u_conv3.u_weights._06514_,9.86µm
m.u_conv3.u_weights._06682_,9.86µm
m.u_conv3.u_weights._07037_,9.86µm
m.u_conv3.u_weights._07402_,9.86µm
m.u_conv3.u_weights._07507_,9.86µm
m.u_conv3.u_weights._07580_,9.86µm
m.u_conv3.u_weights._08106_,9.86µm
m.u_conv3.u_weights._09568_,9.86µm
m.u_conv3.u_weights._10117_,9.86µm
m.u_tree._0831_,9.86µm
net2370,9.86µm
net2409,9.86µm
net2444,9.86µm
net2529,9.86µm
net2570,9.86µm
net2602,9.86µm
net2640,9.86µm
net2694,9.86µm
net2710,9.86µm
net2727,9.86µm
net2772,9.86µm
net2844,9.86µm
net3048,9.86µm
m.u_conv3.u_weights._09201_,9.855µm
m.u_conv3.u_weights._13624_,9.855µm
m._048_,9.85µm
m.u_conv2._0139_,9.85µm
m.u_conv2._0631_,9.85µm
m.u_conv2._0704_,9.85µm
m.u_conv2._0735_,9.85µm
m.u_conv2._0910_,9.85µm
m.u_conv2.acc\[63\]\[5\],9.85µm
m.u_conv2.u_weights._050_,9.85µm
m.u_conv3.u_weights._00454_,9.85µm
m.u_conv3.u_weights._02337_,9.85µm
m.u_conv3.u_weights._02500_,9.85µm
m.u_conv3.u_weights._02883_,9.85µm
m.u_conv3.u_weights._03219_,9.85µm
m.u_conv3.u_weights._03524_,9.85µm
m.u_conv3.u_weights._04524_,9.85µm
m.u_conv3.u_weights._04554_,9.85µm
m.u_conv3.u_weights._04736_,9.85µm
m.u_conv3.u_weights._05411_,9.85µm
m.u_conv3.u_weights._05550_,9.85µm
m.u_conv3.u_weights._05711_,9.85µm
m.u_conv3.u_weights._06992_,9.85µm
m.u_conv3.u_weights._07192_,9.85µm
m.u_conv3.u_weights._08116_,9.85µm
m.u_conv3.u_weights._09094_,9.85µm
m.u_conv3.u_weights._09121_,9.85µm
m.u_conv3.u_weights._09369_,9.85µm
m.u_conv3.u_weights._09874_,9.85µm
m.u_conv3.u_weights._11083_,9.85µm
m.u_conv3.u_weights._11403_,9.85µm
m.u_conv3.u_weights._11663_,9.85µm
m.u_conv3.u_weights._12498_,9.85µm
m.u_conv3.u_weights._13380_,9.85µm
m.u_conv3.u_weights._14201_,9.85µm
m.u_conv3.u_weights._14732_,9.85µm
m.u_conv3.u_weights._14834_,9.85µm
m.u_conv3.u_weights._14902_,9.85µm
m.u_conv3.u_weights._14978_,9.85µm
m.u_conv3.u_weights._15196_,9.85µm
m.u_conv3.u_weights._15689_,9.85µm
m.u_tree._0006_,9.85µm
m.u_tree._0203_,9.85µm
m.u_tree._0249_,9.85µm
m.u_tree._0319_,9.85µm
m.u_tree._0442_,9.85µm
m.u_tree._0584_,9.85µm
m.u_tree._0792_,9.85µm
net2037,9.85µm
net2235,9.85µm
m.u_conv3.u_weights._01353_,9.845µm
m.u_conv3.u_weights._07173_,9.845µm
m.u_conv3.u_weights._12305_,9.845µm
m.u_conv3.u_weights._14543_,9.845µm
net1985,9.84µm
m.u_conv2._0596_,9.84µm
net2191,9.84µm
m.u_conv2.u_loader._196_,9.84µm
m.u_conv2.u_weights._005_,9.84µm
m.u_conv2.u_weights._073_,9.84µm
m.u_conv2.u_weights._265_,9.84µm
m.u_conv3.u_weights._00262_,9.84µm
m.u_conv3.u_weights._01009_,9.84µm
m.u_conv3.u_weights._01392_,9.84µm
m.u_conv3.u_weights._01567_,9.84µm
m.u_conv3.u_weights._02228_,9.84µm
m.u_conv3.u_weights._04122_,9.84µm
m.u_conv3.u_weights._04200_,9.84µm
m.u_conv3.u_weights._05989_,9.84µm
m.u_conv3.u_weights._07417_,9.84µm
m.u_conv3.u_weights._07497_,9.84µm
m.u_conv3.u_weights._11629_,9.84µm
m.u_conv3.u_weights._12105_,9.84µm
m.u_conv3.u_weights._13744_,9.84µm
m.u_conv3.u_weights._14031_,9.84µm
m.u_conv3.u_weights._14229_,9.84µm
m.u_conv3.u_weights._14520_,9.84µm
m.u_conv3.u_weights._15171_,9.84µm
m.u_conv3.u_weights._15394_,9.84µm
net1936,9.84µm
net2051,9.84µm
net2058,9.84µm
m.u_conv1.u_weights._116_,9.835µm
m.u_conv1.u_weights._168_,9.835µm
m.u_conv3.u_weights._07464_,9.835µm
m.u_conv3.u_weights._09952_,9.835µm
m.u_conv3.u_weights._12988_,9.835µm
m.u_conv3.u_weights._14035_,9.835µm
m.u_tree._0278_,9.835µm
m.u_conv3.u_weights._01709_,9.825µm
m.u_conv3.u_weights._15018_,9.825µm
m.u_conv3.u_weights._15026_,9.825µm
m.u_conv2._1231_,9.82µm
m.u_conv3.u_weights._00112_,9.82µm
m.u_conv3.u_weights._14001_,9.82µm
m.u_conv3.u_weights._11536_,9.815µm
m.u_conv3.u_weights._02727_,9.81µm
m.u_conv3.u_weights._03499_,9.81µm
m.u_conv3.u_weights._07212_,9.81µm
m.u_conv3.u_weights._11100_,9.81µm
m.u_conv3.u_weights._13097_,9.81µm
m.u_conv3.u_weights._14822_,9.81µm
m.u_tree._0828_,9.81µm
net2683,9.805µm
m.u_conv3.u_weights._04203_,9.8µm
m.u_conv3.u_weights._12798_,9.8µm
m.u_tree._1052_,9.8µm
m.u_tree._1095_,9.8µm
m.u_conv3.u_weights._10256_,9.795µm
m.u_conv3.u_weights._11734_,9.795µm
m.u_conv3.u_weights._00105_,9.79µm
m.u_conv3.u_weights._02085_,9.79µm
m.u_conv3.u_weights._03583_,9.79µm
m.u_conv3.u_weights._04020_,9.79µm
m.u_conv3.u_weights._05465_,9.79µm
m.u_conv3.u_weights._05673_,9.79µm
m.u_conv3.u_weights._07230_,9.79µm
m.u_conv3.u_weights._07551_,9.79µm
m.u_conv3.u_weights._08478_,9.79µm
m.u_conv3.u_weights._08932_,9.79µm
m.u_conv3.u_weights._14696_,9.79µm
m.u_pool1._230_,9.79µm
m.u_tree._0816_,9.79µm
m.u_tree._1120_,9.79µm
m.u_conv2.u_weights._269_,9.785µm
m.u_conv3.u_weights._02848_,9.785µm
m.u_conv3.u_weights._10728_,9.785µm
m.u_conv3.u_weights._11972_,9.785µm
m.u_conv2.acc\[45\]\[1\],9.78µm
m.u_conv3.u_weights._05405_,9.78µm
m.u_conv3.u_weights._06151_,9.78µm
m.u_conv3.u_weights._11068_,9.78µm
m.u_conv3.u_weights._12144_,9.78µm
m.u_conv3.u_weights._12530_,9.78µm
m.u_conv3.u_weights._12922_,9.78µm
m.u_conv3.u_weights._14029_,9.78µm
m.u_conv3.u_weights._15711_,9.78µm
m.u_conv1._162_,9.775µm
m.u_conv2.acc\[51\]\[1\],9.775µm
m.u_conv2.u_weights._258_,9.775µm
m.u_conv3.u_weights._06846_,9.775µm
m.u_conv3.u_weights._07249_,9.775µm
m.u_conv3.u_weights._09640_,9.775µm
m.u_conv3.u_weights._10511_,9.775µm
m.u_conv3.u_weights._12138_,9.775µm
m.u_conv3.u_weights._12469_,9.775µm
m.u_conv3.u_weights._13986_,9.775µm
m.u_pool2._119_,9.775µm
m.u_tree._0158_,9.775µm
m.u_conv3.u_weights._10100_,9.765µm
m.u_tree._0315_,9.765µm
m.u_conv3.u_weights._01550_,9.755µm
m.u_conv2.u_loader._228_,9.75µm
m.u_conv3.u_weights._05791_,9.75µm
m.u_conv3.u_weights._05937_,9.75µm
m.u_conv3.u_weights._11468_,9.75µm
m.u_conv3.u_weights._12418_,9.75µm
m.u_conv3.u_weights._14277_,9.75µm
m.u_conv3.u_weights._15658_,9.75µm
m.u_conv3.u_weights._06644_,9.745µm
m.u_conv3.u_weights._08686_,9.745µm
m.u_conv3.u_weights._09598_,9.745µm
m.u_conv3.u_weights._10687_,9.745µm
m.u_conv3.u_weights._10877_,9.745µm
m.u_conv3.u_weights._12532_,9.745µm
m.u_conv3.u_weights._14537_,9.745µm
m.u_conv3.u_weights._14784_,9.745µm
m.u_tree._0165_,9.745µm
m.u_tree._0729_,9.745µm
m.u_conv2._0087_,9.74µm
m.u_conv2._0506_,9.74µm
m.u_conv3.u_weights._01886_,9.74µm
m.u_conv3.u_weights._02456_,9.74µm
m.u_conv3.u_weights._02931_,9.74µm
m.u_conv3.u_weights._03714_,9.74µm
m.u_conv3.u_weights._04093_,9.74µm
m.u_conv3.u_weights._04100_,9.74µm
m.u_conv3.u_weights._04358_,9.74µm
m.u_conv3.u_weights._04416_,9.74µm
m.u_conv3.u_weights._06309_,9.74µm
m.u_conv3.u_weights._07965_,9.74µm
m.u_conv3.u_weights._09076_,9.74µm
m.u_conv3.u_weights._09498_,9.74µm
m.u_conv3.u_weights._09782_,9.74µm
m.u_conv3.u_weights._10215_,9.74µm
m.u_conv3.u_weights._10317_,9.74µm
m.u_conv3.u_weights._11521_,9.74µm
m.u_conv3.u_weights._11525_,9.74µm
m.u_conv3.u_weights._11544_,9.74µm
m.u_conv3.u_weights._12050_,9.74µm
m.u_conv3.u_weights._12332_,9.74µm
m.u_conv3.u_weights._13524_,9.74µm
m.u_conv3.u_weights._14894_,9.74µm
m.u_conv3.u_weights._15147_,9.74µm
m.u_conv3.u_weights._15210_,9.74µm
m.u_conv3.u_weights._15278_,9.74µm
m.u_conv3.u_weights._15304_,9.74µm
m.u_tree._0440_,9.74µm
m.u_tree._1227_,9.74µm
m.u_tree._1537_,9.74µm
m.u_conv3.u_weights._02816_,9.735µm
m.u_conv3.u_weights._14040_,9.735µm
m.u_pool1._218_,9.735µm
m.u_conv1.u_loader._165_,9.73µm
m.u_conv2._1039_,9.73µm
m.u_conv3.u_weights._00620_,9.73µm
m.u_conv3.u_weights._00640_,9.73µm
m.u_conv3.u_weights._01239_,9.73µm
m.u_conv3.u_weights._02254_,9.73µm
m.u_conv3.u_weights._02592_,9.73µm
m.u_conv3.u_weights._02957_,9.73µm
m.u_conv3.u_weights._03068_,9.73µm
m.u_conv3.u_weights._03338_,9.73µm
m.u_conv3.u_weights._04803_,9.73µm
m.u_conv3.u_weights._05244_,9.73µm
m.u_conv3.u_weights._07130_,9.73µm
m.u_conv3.u_weights._07471_,9.73µm
m.u_conv3.u_weights._07679_,9.73µm
m.u_conv3.u_weights._08000_,9.73µm
m.u_conv3.u_weights._08129_,9.73µm
m.u_conv3.u_weights._08668_,9.73µm
m.u_conv3.u_weights._09176_,9.73µm
m.u_conv3.u_weights._09863_,9.73µm
m.u_conv3.u_weights._10754_,9.73µm
m.u_conv3.u_weights._10789_,9.73µm
m.u_conv3.u_weights._11249_,9.73µm
m.u_conv3.u_weights._12525_,9.73µm
m.u_conv3.u_weights._13159_,9.73µm
m.u_conv3.u_weights._13469_,9.73µm
m.u_conv3.u_weights._14144_,9.73µm
m.u_tree._1124_,9.73µm
net1892,9.73µm
net1906,9.73µm
m.u_conv3.u_weights._05190_,9.725µm
m.u_conv2.u_weights._254_,9.72µm
m.u_conv3.u_weights._00315_,9.72µm
m.u_conv3.u_weights._03730_,9.72µm
m.u_conv3.u_weights._04692_,9.72µm
m.u_conv3.u_weights._04961_,9.72µm
m.u_conv3.u_weights._07156_,9.72µm
m.u_conv3.u_weights._08864_,9.72µm
m.u_conv3.u_weights._08887_,9.72µm
m.u_conv3.u_weights._10428_,9.72µm
m.u_conv3.u_weights._11193_,9.72µm
m.u_conv3.u_weights._12538_,9.72µm
m.u_conv3.u_weights._13570_,9.72µm
m.u_conv3.u_weights._14350_,9.72µm
m.u_tree._0172_,9.72µm
m.u_tree._1446_,9.72µm
m.u_conv3.u_weights._09793_,9.71µm
m.u_conv3.u_weights._12886_,9.71µm
m.u_conv3.u_weights._08988_,9.705µm
m.u_conv3.u_weights._14133_,9.7µm
m.u_conv3.u_weights._00203_,9.69µm
m.u_conv3.u_weights._01543_,9.69µm
m.u_conv3.u_weights._09997_,9.69µm
m.u_conv3.u_weights._12369_,9.69µm
m.u_conv3.u_weights._15749_,9.69µm
m.u_conv3.u_weights._01670_,9.685µm
m.u_conv3.u_weights._13596_,9.685µm
m.u_conv3.u_weights._00494_,9.68µm
m.u_conv3.u_weights._01240_,9.68µm
m.u_conv3.u_weights._05666_,9.68µm
m.u_conv3.u_weights._05775_,9.68µm
m.u_conv3.u_weights._05945_,9.68µm
m.u_conv3.u_weights._06129_,9.68µm
m.u_conv3.u_weights._06285_,9.68µm
m.u_conv3.u_weights._06521_,9.68µm
m.u_conv3.u_weights._07007_,9.68µm
m.u_conv3.u_weights._11986_,9.68µm
m.u_conv3.u_weights._12231_,9.68µm
m.u_conv3.u_weights._15512_,9.68µm
m.u_conv3.u_weights._15747_,9.68µm
m.u_conv1.u_weights._072_,9.675µm
m.u_conv3.u_weights._12996_,9.675µm
m.u_conv1.loader_read_en,9.67µm
m.u_conv2._0348_,9.67µm
m.u_conv2._0379_,9.67µm
m.u_conv2.acc\[61\]\[5\],9.67µm
m.u_conv2.u_weights._192_,9.67µm
m.u_conv3.u_weights._04764_,9.67µm
m.u_conv3.u_weights._04923_,9.67µm
m.u_conv3.u_weights._08787_,9.67µm
m.u_conv3.u_weights._11085_,9.67µm
m.u_conv3.u_weights._11674_,9.665µm
m.u_pool2._125_,9.665µm
m.u_conv2._1002_,9.66µm
m.u_conv2._1495_,9.66µm
m.u_conv2.acc\[35\]\[0\],9.66µm
